title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Devious Dungeon,Ratalaika Games,Noodlecake Studios,Platform,No,,,,,,,,
Devious Dungeon 2,Ratalaika Games,Noodlecake Studios,Platform,No,,,,,,,,
Dex,Dreadlocks Ltd,BadLand Games,Action role-playing,No,,,,,,,,
Diabolik Lovers Limited V Edition,Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Diabolik Lovers: Dark Fate,Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Diabolik Lovers: Lost Eden,Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Diabolik Lovers: Lunatic Parade,Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
"Diabolik Lovers: More,Blood Limited V Edition",Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Diabolik Lovers: Vandead Carnival,Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Die! Die! Die!,iFun4All,iFun4All,Tower defense,No,,,,,,,,
Digimon Story: Cyber Sleuth,Media.Vision,Bandai Namco Games,Role-playing,Yes,,,,,,,,
Digimon Story: Cyber Sleuth – Hacker's Memory,Media.Vision,Bandai Namco Entertainment,Role-playing,Yes,,,,,,,,
Digimon World: Next Order,B.B. Studio,Bandai Namco Entertainment,Role-playing,Yes,,,,,,,,
Dino Dini's Kick Off Revival,Koo Games,The Digital Lounge,Sports,No,,,,,,,,
Disgaea 3: Absence of Detention,Nippon Ichi Software,Nippon Ichi Software,Tactical role-playing,Yes,,,,,,,,
Disgaea 4: A Promise Revisited,Nippon Ichi Software,Nippon Ichi Software,Tactical role-playing,Yes,,,,,,,,
Disney Infinity: Marvel Super Heroes,Avalanche Software,Disney Interactive Studios,Action-adventure,Yes,,,,,,,,
Divekick,Iron Galaxy Studios One True Game Studios,Iron Galaxy Studios,Fighting,Yes,,,,,,,,
Doctor Who: The Eternity Clock,Supermassive Games,BBC Worldwide,"Adventure, puzzle",No,,,,,,,,
Dogimegi Inryoku-chan: Love & Peace,Arc System Works,Arc System Works,Platform,Yes,,,,,,,,
Doki-Doki Universe,HumaNature Studios,Sony Computer Entertainment,Adventure,Yes,,,,,,,,
Dokuro,Game Arts,GungHo Online Entertainment,Puzzle-platform,No,,,,,,,,
"Don't Die, Mr. Robot!",Infinite State Games,Infinite State Games,Action,Yes,,,,,,,,
Don't Starve: Giant Edition,Klei Entertainment BlitWorks,Klei Entertainment,Action-adventure,Yes,,,,,,,,
Doodle Devil,JoyBits,8 Floor Games,Puzzle,Yes,,,,,,,,
Doodle God,JoyBits,8 Floor Games,Puzzle,Yes,,,,,,,,
Doodle Kingdom,JoyBits,8 Floor Games,Puzzle,No,,,,,,,,
Doukoku Soshite...,Studio Line Sakata SAS El Dia,El Dia,Visual novel Adventure,Yes,,,,,,,,
Downwell,Moppin,Devolver Digital,Roguelike,Yes,,,,,,,,
Dragon Ball Z: Battle of Z,Artdink,Bandai Namco Games,Fighting,No,,,,,,,,
Dragon Fantasy Book I • Dragon Fantasy: The Volumes of Westeria,The Muteki Corporation,The Muteki Corporation,Role-playing,Yes,,,,,,,,
Dragon Fantasy Book II,The Muteki Corporation,The Muteki Corporation,Role-playing,Yes,,,,,,,,
Dragon Fin Soup,Grimm Bros BlitWorks,Grimm Bros,Roguelike,Yes,,,,,,,,
Dragon Quest Builders,Square Enix Business Division 5,Square Enix,"Sandbox, role-playing",No,,,,,,,,
Dragon Quest Heroes II,Omega Force,Square Enix,Action role-playing,Yes,,,,,,,,
Dragon Sinker,Exe Create,Kemco,Role-playing,Yes,,,,,,,,
Dragon's Crown,Vanillaware,EU : NIS America WW : Atlus,Action role-playing,Yes,,,,,,,,
Dragon's Dogma Quest,Capcom,Capcom,Action role-playing,Yes,,,,,,,,
Dragonfly Chronicles,Marco Ayala Games,Marco Ayala Games,Platform,No,,,,,,,,
Dragons Online,Stephen Allen,Stephen Allen,Role-playing,Yes,,,,,,,,
Dragooned,Dragoon Entertainment,Dragoon Entertainment,Platform,No,,,,,,,,
Dramatical Murder Re:code,Nitro+chiral,Nitroplus,Otome game,Yes,,,,,,,,
Draw Slasher,Mass Creation,JP : Teyon WW : Mass Creation,Action,No,,,,,,,,
Dream Club Zero Portable,Tamsoft,D3 Publisher,Dating sim,No,,,,,,,,
"Dreamlands, The: Aisling's Quest",The Domaginarium,The Domaginarium,Adventure,No,,,,,,,,
Dreamwalker,Code Mystics,Code Mystics,Puzzle,Yes,,,,,,,,
Dreii,Etter Studio,Bitforge,Puzzle,No,,,,,,,,
Drive Girls,Tamsoft,JP : Bergsala Lightweight NA : Aksys Games EU : Rising Star Games,Action,No,,,,,,,,
Drowning,Polygonal Wolf,Sometimes You,Adventure,No,,,,,,,,
Duck Souls+,Ratalaika Games,Ratalaika Games,Adventure,No,,,,,,,,
Duke Nukem 3D: Megaton Edition,3D Realms General Arcade Abstraction Games,Devolver Digital,First-person shooter,North America only,,,,,,,,
Dull Grey,Sometimes You,Sometimes You,Visual novel,No,,,,,,,,
Dungeon Hunter 5 • Dark Quest 5,Gameloft,Laplace,Role-playing,No,,,,,,,,
Dungeon Hunter: Alliance,Gameloft Montreal,Ubisoft,Action role-playing,Japan only,,,,,,,,
Dungeon Punks,Hyper Awesome Entertainment,Hyper Awesome Entertainment,Action role-playing,Yes,,,,,,,,
Dungeon Travelers 2-2,Sting Entertainment,Aquaplus,Dungeon crawler,Yes,,,,,,,,
Dungeon Travelers 2: The Royal Library & the Monster Seal,Sting Entertainment,JP : Aquaplus NA : Atlus USA EU : NIS America,Dungeon crawler,Yes,,,,,,,,
Dungeons & Bombs,Sometimes You,EastAsiaSoft,Action,No,,,,,,,,
Durarara!! 3way standoff alley V,Netchubiyori,Kadokawa Games,Visual novel puzzle rhythm,Yes,,,,,,,,
Durarara!! Relay,Kadokawa Games,Kadokawa Games,Adventure,Yes,,,,,,,,
Dustforce,Hitbox Team,Capcom,Platform,Yes,,,,,,,,
Dying: Reborn,Nekcom,Oasis Games,Puzzle,No,,,,,,,,
Dynamic Chord feat. Apple-polisher V Edition,Honeybee Black,Honeybee,Otome game,Yes,,,,,,,,
Dynamic Chord feat. Kyosho V Edition,Honeybee Black,Honeybee,Otome game,Yes,,,,,,,,
Dynamic Chord feat. Liar-S V Edition,Honeybee Black,Honeybee,Otome game,Yes,,,,,,,,
Dynamic Chord feat. rêve parfait V Edition,Honeybee Black,Honeybee,Otome game,Yes,,,,,,,,
Dynasty Warriors 8: Empires,Omega Force,Koei Tecmo,Action,Yes,,,,,,,,
Dynasty Warriors 8: Xtreme Legends Complete Edition,Omega Force,Tecmo Koei,Action,Yes,,,,,,,,
Dynasty Warriors Next,Omega Force,Tecmo Koei,Action,No,,,,,,,,
Dynasty Warriors Online Z,Omega Force,Koei Tecmo,MMORPG,No,,,,,,,,
Dynasty Warriors: Godseekers,Omega Force,Koei Tecmo,Strategy role-playing,Yes,,,,,,,,
ELEDiVE,Nihon Kogakuin College of Hachioji Development Team,Grasshopper Manufacture,Puzzle,No,,,,,,,,
EMMA: Lost in Memories,SandBloom Studio,JanduSoft,Platform,No,,,,,,,,
Earth Defense Force 2017 Portable,Sandlot,D3 Publisher,Third-person shooter,Yes,,,,,,,,
Earth Defense Force 2: Invaders from Planet Space,Sandlot,D3 Publisher (JP) Xseed Games (NA) PQube (EU),Third-person shooter,Yes,,,,,,,,
Ecolibrium,Sony Computer Entertainment,Sony Computer Entertainment,Life simulation,No,,,,,,,,
Eiyū Senki,Tenco,5pb.,Turn-based strategy,Yes,,,,,,,,
Element4l,I-Illusions,I-Illusions,Platform,Yes,,,,,,,,
Emerald Shores,Fordesoft,Fordesoft,Platform,Yes,,,,,,,,
End Sleep,Lilac Soft,Lilac Soft,Visual novel,Yes,,,,,,,,
Energy Balance,Sometimes You,Sometimes You,Puzzle,Yes,,,,,,,,
Energy Cycle,Sometimes You,Sometimes You,Puzzle,Yes,,,,,,,,
Energy Cycle Edge,Sometimes You,Sometimes You,Puzzle,No,,,,,,,,
Energy Invasion,Sometimes You,Sometimes You,Puzzle,Yes,,,,,,,,
Enkan no Memoria: Kakera Tomoshi,A'sRing,Dramatic Create,Otome game,Yes,,,,,,,,
Entwined,Pixelopus,Sony Computer Entertainment,Rhythm,Yes,,,,,,,,
Ephemeral: Fantasy on Dark,HuneX,Dramatic Create,Otome game,Yes,,,,,,,,
Epic Mickey 2: The Power of Two,"Junction Point Studios , Blitz Games Studios",Sony Computer Entertainment,Platform,No,,,,,,,,
Epic Word Search Collection,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Epic Word Search Collection 2,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Escape Plan,Fun Bits Interactive,Sony Computer Entertainment,Puzzle,No,,,,,,,,
Ethan: Meteor Hunter,Seaven Studio,Seaven Studio,Platform,Yes,,,,,,,,
Eufloria HD,Omni Systems Limited,Omni Systems Limited,Real-time strategy,No,,,,,,,,
Eve: Burst Error R,C's Ware,Red Flagship,Visual novel Adventure,Yes,,,,,,,,
Eve: Rebirth Terror,C's Ware,Red Flagship,Visual novel,Yes,,,,,,,,
Exile's End,Magnetic Realms,Xseed Games,Platform,Yes,,,,,,,,
Exist Archive: The Other Side of the Sky,"Spike Chunsoft , tri-Ace",Spike Chunsoft (JP) Aksys Games (NA/EU),Role-playing,Yes,,,,,,,,
Explosive Jake,Pigeon Dev Games,Lightwood Games,Puzzle,No,,,,,,,,
Exstetra,FuRyu,FuRyu,Role-playing,Yes,,,,,,,,
F1 2011,"Codemasters Birmingham , Sumo Digital",Codemasters,Racing,Yes,,,,,,,,
FIFA 13,EA Canada,EA Sports,Sports,Yes,,,,,,,,
FIFA 14: Legacy Edition,EA Canada,EA Sports,Sports,Yes,,,,,,,,
FIFA 15: Legacy Edition,EA Canada,EA Sports,Sports,No,,,,,,,,
FIFA Football,EA Canada,EA Sports,Sports,Yes,,,,,,,,
Factotum 90,"Tacs Games, Poppy Works",Poppy Works,Puzzle,Yes,,,,,,,,
Fairune,Flyhigh Works,Circle Entertainment (JP) Qubic Games (NA/EU),Action role-playing,Yes,,,,,,,,
Fallen Legion: Flames of Rebellion,YummyYummyTummy,Mintsphere,Role-playing,Yes,,,,,,,,
Fantasy Hero: Unsigned Legacy,Arc System Works,Arc System Works,Action role-playing,Yes,,,,,,,,
Farming Simulator,Giants Software,Giants Software,Simulation,Yes,,,,,,,,
Farming Simulator 14,Giants Software,Focus Home Interactive (NA/EU) Intergrow (JP),Simulation,North America/Europe only,,,,,,,,
Farming Simulator 16,Giants Software,Focus Home Interactive (NA/EU) Intergrow (JP),Simulation,Yes,,,,,,,,
Farming Simulator 18,Giants Software,Focus Home Interactive (NA/EU) Intergrow (JP),Simulation,Yes,,,,,,,,
Fast Striker,NGDEV,EastAsiaSoft,Shooter,Yes,,,,,,,,
Fat City,Heavy Iron Studios,Heavy Iron Studios,Puzzle,Yes,,,,,,,,
Fat Princess: Piece of Cake,One Loop Games Santa Monica Studio,Sony Computer Entertainment,Puzzle,No,,,,,,,,
Fata Morgana no Yakata: Collected Edition,Novectacle,Dramatic Create,Visual novel,Yes,,,,,,,,
Fate/Extella Link,"Marvelous Interactive , Type-Moon",Marvelous Interactive,Action,Yes,,,,,,,,
Fate/Extella: The Umbral Star,"Marvelous Interactive , Type-Moon",Marvelous Interactive (JP) Xseed Games (NA),Action,Yes,,,,,,,,
Fate/hollow ataraxia,Type-Moon,Type-Moon,Visual novel,Yes,,,,,,,,
Fate/stay night [Réalta Nua],Type-Moon,Kadokawa Games,Visual novel,Yes,,,,,,,,
Fernz Gate,Kemco,Kemco,Role-playing,No,,,,,,,,
Fez,Polytron Corporation BlitWorks,Polytron Corporation,Puzzle,Yes,,,,,,,,
Fieldrunners 2,Subatomic Studios Twitchy Thumbs Entertainment,Subatomic Studios,Tower defense,No,,,,,,,,
Fifty Words by POWGI,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Fill-a-Pix: Phil's Epic Adventure,Lightwood Games,Lightwood Games,Puzzle,Yes,,,,,,,,
Final Fantasy X HD,"Square Enix 1st Production Department , Virtuos",Square Enix,Role-playing,Yes,,,,,,,,
Final Fantasy X-2 HD,"Square Enix 1st Production Department , Virtuos",Square Enix,Role-playing,Yes,,,,,,,,
Final Horizon,Eiconic Games,Eiconic Games,Real-time strategy,Yes,,,,,,,,
Fireworks,Exient Entertainment,Sony Computer Entertainment,Arcade,No,,,,,,,,
Flame Over,Laughing Jackal,Laughing Jackal,Roguelike,Yes,,,,,,,,
Floating Cloud God Saves the Pilgrims in HD!,Dakko Dakko,Dakko Dakko,Action,Yes,,,,,,,,
Floral Flowlove,Saga Planets,Entergram,Visual novel,Yes,,,,,,,,
Flow,"Thatgamecompany , SuperVillain Studios",Sony Computer Entertainment,Life simulation,No,,,,,,,,
Flower,"Thatgamecompany , Bluepoint Games",Sony Computer Entertainment,Adventure,No,,,,,,,,
Flowers: Le Volume sur Automne,Innocent Grey,Prototype,Visual novel,Yes,,,,,,,,
Flowers: Le Volume sur Hiver,Innocent Grey,Prototype,Visual novel,Yes,,,,,,,,
Flowers: Le Volume sur Été,Innocent Grey,Prototype,Visual novel,Yes,,,,,,,,
Flowers: Le volume sur printemps,Innocent Grey,Prototype,Visual novel,Yes,,,,,,,,
Flyhunter Origins,Steel Wool Games,Ripstone,Platform,Yes,,,,,,,,
Flying Hamster HD,The Game Atelier,The Game Atelier,Action,No,,,,,,,,
Foosball 2012,Grip Games,Grip Games,Sports,Yes,,,,,,,,
Football Game,Cloak and Dagger Games,Cloak and Dagger Games,Adventure,No,,,,,,,,
Football Manager Classic 2014,Sports Interactive,Sega,Simulation,No,,,,,,,,
Forma.8,MixedBag Games,MixedBag Games,Action-adventure,Yes,,,,,,,,
Fort Defense,Creobit,4 Hit,Real-time strategy,Yes,,,,,,,,
Fort Defense North Menace,Creobit,4 Hit,Real-time strategy,Yes,,,,,,,,
Fortissimo,"Kadokawa Games , ASCII Media Works",Idea Factory,Otome game,Yes,,,,,,,,
Foul Play,Mediatonic,Devolver Digital,Adventure,Yes,,,,,,,,
Foxyland,Will O'Neill,Ratalaika Games,Platform,No,,,,,,,,
Foxyland 2,BUG-Studio,Ratalaika Games,Platform,No,,,,,,,,
Frane: Dragons' Odyssey,Kemco,Kemco,Role-Playing,No,,,,,,,,
Freedom Wars,"Japan Studio , Shift , Dimps",Sony Computer Entertainment,Action role-playing,Yes,,,,,,,,
Frobisher Says!,Honeyslug,Sony Computer Entertainment,Puzzle,No,,,,,,,,
Frozen Synapse: Prime,"Mode 7 Games, Double Eleven",Double Eleven,Turn-based strategy,Yes,,,,,,,,
Fruit Ninja,"Halfbrick Studios , Big Ant Studios",Big Ant Studios,Arcade,No,,,,,,,,
Full Kiss,Giga,Entergram,Visual novel,No,,,,,,,,
Full Throttle Remastered,"LucasArts , Double Fine Productions",Double Fine Productions,Adventure,No,,,,,,,,
FullBlast,"Ufo Crash Games, Ratalaika Games",Ratalaika Games,Shooter,No,,,,,,,,
Funk of Titans,A Crowd of Monsters,Merge Games,Platform,Yes,,,,,,,,
Fureraba: Friend to Lover,Smee,Kaga Create,Visual novel Dating sim,Yes,,,,,,,,
Furmins,"Housemarque , Beatshapers",Beatshapers,Puzzle,Yes,,,,,,,,
Furuiro Meikyū Rondo: La Roue de fortune,Yatagarasu,Yeti,Visual novel,Yes,,,,,,,,
Furuki Yoki Jidai no Bōkentan,Daidai,Daidai,Role-playing,Yes,,,,,,,,
Furwind,"JanduSoft, Beatshapers",JanduSoft,Platform,Yes,,,,,,,,
Futagoza no Paradox,Cotton Soft,Entergram,Visual novel,Yes,,,,,,,,
Futuridium EP Deluxe,MixedBag Games,MixedBag Games,Shooter,Yes,,,,,,,,
Fuuraiki 3,FOG Inc.,Nippon Ichi Software,Visual novel Adventure,No,,,,,,,,
Gakuen Club: Himitsu no Nightclub,Opera House,Dramatic Create,Otome game,Yes,,,,,,,,
Gakuen Heaven 2: Double Scramble,Spray,Prototype,Otome game,Yes,,,,,,,,
Gakuen Heaven: Boy's Love Scramble!,Spray,Prototype,Otome game,Yes,,,,,,,,
Gakuen K: Wonderful School Days V Edition,"Ichi Column, Otomate",Idea Factory,Otome game,Yes,,,,,,,,
Gal Gunvolt,Inti Creates,Inti Creates,Platform,Yes,,,,,,,,
Gal*Gun: Double Peace,Inti Creates,JP : Alchemist WW : PQube,Rail shooter,No,,,,,,,,
Galleria no Chika: Meikyuu to Majo no Ryodan,Nippon Ichi Software,Nippon Ichi Software,Role-playing,No,,,,,,,,
Galtia V Edition,Grisedge,Dramatic Create,Visual novel,Yes,,,,,,,,
Ganbare! Super Strikers,rese,Ratalaika Games,Sports,No,,,,,,,,
Garou: Mark of the Wolves,"SNK , Code Mystics",SNK,Fighting,Yes,,,,,,,,
Geki Yaba Runner,Qubic Games,Qubic Games,Runner,No,,,,,,,,
Gem Legends,Big Fish Games,Big Fish Games,Puzzle,No,,,,,,,,
Gem Smashers,Raylight Games,Funbox Media,Puzzle,No,,,,,,,,
Gendai Daisenryaku 2016: Chitsujo no Hōkai Haken Kokka Shittsui,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,Yes,,,,,,,,
Genimus,Planet G,Planet G,Action,No,,,,,,,,
Genji Koi Emaki,QuinRose,QuinRose,Otome game,Yes,,,,,,,,
Genkai Tokki: Moero Chronicle,Compile Heart,Compile Heart,Dungeon crawler,No,,,,,,,,
Genkai Tokki: Moero Crystal,Compile Heart,Compile Heart,Dungeon crawler,No,,,,,,,,
Genkai Tokki: Seven Pirates,Compile Heart,Compile Heart,Dungeon crawler,No,,,,,,,,
Gensō Rōgoku no Kaleidoscope,Ryukishi07,Entergram,Visual novel,No,,,,,,,,
Geometry Wars 3: Dimensions Evolved,Lucid Games,Sierra Entertainment,Shooter,Yes,,,,,,,,
Germinator,Creat Studios,Creat Studios,Puzzle,Yes,,,,,,,,
Get off my Lawn!,Digital Leisure,Sony Computer Entertainment,Action,No,,,,,,,,
Geten no Hana with Yume Akari Aizō-ban,Ruby Party,Koei Tecmo,Otome game,Yes,,,,,,,,
Getsuei Gakuen: Kou [ ja ],Arc System Works,Arc System Works,Visual novel,Yes,,,,,,,,
Getsuei no Kusari: Kyouran Moratorium [ ja ],Takuyo,Takuyo,Otome game,Yes,,,,,,,,
Getsuei no Kusari: Sakuran Paranoia [ ja ],Takuyo,Takuyo,Otome game,Yes,,,,,,,,
Ghoulboy,Serkan Bakar,Hidden Trap,Action,Yes,,,,,,,,
Ginsei Igo: Next Generation [ ja ],Silver Star,Silver Star,Go,Yes,,,,,,,,
Ginsei Shogi: Kyōtendo Toufū Raijin [ ja ],Silver Star,Silver Star,Shougi,Yes,,,,,,,,
Gintama Ranbu,Bandai Namco Entertainment,Bandai Namco Entertainment,Action,No,,,,,,,,
Girl Friend (Kari): Kimi to Sugosu Natsuyasumi,CyberAgent,Bandai Namco Entertainment,Visual novel Dating sim,No,,,,,,,,
"Girls und Panzer: Senshadō, Kiwamemasu!",Namco Bandai Games,Namco Bandai Games,Shooter,Yes,,,,,,,,
Gnosia,Mebius,Mebius,Visual novel,No,,,,,,,,
Gochūmon wa Usagi Desu ka?? Wonderful Party!,5pb.,5pb.,Visual novel Mini-games,Yes,,,,,,,,
God Eater 2,Shift,Bandai Namco Games,Action role-playing,Yes,,,,,,,,
God Eater 2: Rage Burst,Shift,Bandai Namco Games,Action role-playing,Yes,,,,,,,,
God Eater Off Shot: Alisa-hen,Bandai Namco Games,Bandai Namco Games,Photo shooting,Yes,,,,,,,,
God Eater Off Shot: Kōta-hen,Bandai Namco Games,Bandai Namco Games,Photo shooting,Yes,,,,,,,,
God Eater Off Shot: Lindow-hen,Bandai Namco Games,Bandai Namco Games,Photo shooting,Yes,,,,,,,,
God Eater Off Shot: Sakuya-hen,Bandai Namco Games,Bandai Namco Games,Photo shooting,Yes,,,,,,,,
God Eater Off Shot: Shio-hen,Bandai Namco Games,Bandai Namco Games,Photo shooting,Yes,,,,,,,,
God Eater Off Shot: Sōma-hen,Bandai Namco Games,Bandai Namco Games,Photo shooting,Yes,,,,,,,,
God Eater Resurrection,Shift,Bandai Namco Entertainment,Action role-playing,Yes,,,,,,,,
God Wars: Future Past,Kadokawa Games,Kadokawa Games,Tactical role-playing,Yes,,,,,,,,
God Wars: Nihon Shinwa Taisen,Kadokawa,Kadokawa,Turn-based strategy,No,,,,,,,,
God of War Collection,"Santa Monica Studio , Sanzaru Games",Sony Computer Entertainment,Action,Yes,,,,,,,,
Gods of Almagest,Arrayansoft,Arrayansoft,Puzzle,No,,,,,,,,
Goes!,Petit Reve,Future Tech Lab,Otome game,Yes,,,,,,,,
Goetia: Sen no Majin to Mugen no Tō,Appirits,Appirits,Role-playing,Yes,,,,,,,,
Golden Time: Vivid Memories,Cattle Call,Kadokawa Games,Visual novel,No,,,,,,,,
Grand Kingdom,Monochrome Corporation,Spike Chunsoft (JP) NIS America (NA/EU),Tactical role-playing,Yes,,,,,,,,
Grand Theft Auto: iFruit,Rockstar Games,Rockstar Games,Application,No,,,,,,,,
Grass Cutter: Mutated Lawns,Sometimes You,Sometimes You,Action,No,,,,,,,,
Gravity Badgers,Wales Interactive,Wales Interactive,Action,No,,,,,,,,
Gravity Crash Ultra,Just Add Water,Sony Computer Entertainment,Shoot 'em up,Yes,,,,,,,,
Gravity Duck,Ratalaika Games,Ravenous Games,Platform,No,,,,,,,,
Gravity Rush,"Japan Studio , Project Siren",Sony Computer Entertainment,Action-adventure,No,,,,,,,,
Green Game: TimeSwapper,iFun4All,iFun4All,Platform,No,,,,,,,,
Grim Fandango Remastered,"LucasArts , Double Fine Productions",Sony Computer Entertainment,Adventure,Yes,,,,,,,,
Grisaia no Kajitsu Spin-out!? Idol Magical Girl Chiruchiru Michiru,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Grisaia no Kajitsu: Le Fruit De La Grisaia,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Grisaia no Kajitsu: Side Episode,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Grisaia no Meikyuu: Le Labyrinthe De La Grisaia,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Grisaia no Rakuen: Le Eden De La Grisaia,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Grisaia: Phantom Trigger Vol. 1 & 2,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Grisaia: Phantom Trigger Vol. 3 & 4,Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Guacamelee!,DrinkBox Studios,DrinkBox Studios (NA/EU) Spike Chunsoft (JP),Platform,Yes (1-2 players),,,,,,,,
Guard Duty,Ratalaika Games,Sick Chicken Studios,Adventure,No,,,,,,,,
Guardian Hearts Online,Q Entertainment,Q Entertainment,Role-playing,No,,,,,,,,
Guilty Gear XX Accent Core Plus R,Arc System Works,Arc System Works (JP/NA) PQube (EU),Fighting,Yes,,,,,,,,
Gun Gun Pixies,Shade,Compile Heart,Third-person shooter,Yes,,,,,,,,
Gundam Breaker,Craft & Meisters,Bandai Namco Games,Action,Yes,,,,,,,,
Gundam Breaker 2,Craft & Meisters,Bandai Namco Games,Action,Yes,,,,,,,,
Gundam Breaker 3,Craft & Meisters,Bandai Namco Games,Action,Yes,,,,,,,,
Gundemoniums,Platine Dispositif,Mediascape,Shoot 'em up,No,,,,,,,,
Gunhouse,Necrosoft Games,Necrosoft Games,Tower defense,No,,,,,,,,
Gunka o Haita Neko,Primula,Prototype,Visual novel,No,,,,,,,,
Gunslugs,"OrangePixel, Abstraction Games",Abstraction Games,Shooter,Yes,,,,,,,,
HTR High Tech Racing Plus,QUByte Game Studio,Caipirinha Games,Racing,No,,,,,,,,
Habroxia,Lillymo Games,Lillymo Games,Shooter,Yes,,,,,,,,
Habroxia 2,Lillymo Games,Lillymo Games,Shooter,Yes,,,,,,,,
Haiyore! Nyaruko-san: Meijo Shigatai Game no You na Mono,5pb.,5pb.,Visual novel,Yes,,,,,,,,
Hakuōki SSL: Sweet School Life,"Otomate , Design Factory",Idea Factory,Otome game,Yes,,,,,,,,
Hakuōki: Edo Blossoms,"Otomate , Design Factory",Idea Factory,Otome game,Yes,,,,,,,,
Hakuōki: Kyoto Winds,"Otomate , Design Factory",Idea Factory,Otome game,Yes,,,,,,,,
Hakuōki: Kyōkaroku,"Otomate , Design Factory",Idea Factory,Otome game,Yes,,,,,,,,
Hakuōki: Reimeiroku Omōhase Sora,"Otomate , Design Factory",Idea Factory,Otome game,Yes,,,,,,,,
Hakuōki: Yuugiroku Taishi-tachi no Daienka,"Otomate , Design Factory",Idea Factory,Otome game Mini-games,Yes,,,,,,,,
Hakuōki: Zuisouroku Omokage-ge Hana,"Otomate , Design Factory",Idea Factory,Otome game,Yes,,,,,,,,
Halloween Forever,Imaginary Monsters,Poppy Works,Platform,No,,,,,,,,
Hana Oboro: Sengoku-den Ranki,Otomate,Idea Factory,Otome game Mini-games,Yes,,,,,,,,
Hanasaki Work Spring! [ ja ],Saga Planets,Entergram,Visual novel,Yes,,,,,,,,
Hanasaku Manimani [ ja ],5pb.,5pb.,Visual novel Dating sim,Yes,,,,,,,,
"Hanayaka Nari, Waga Ichizoku Gentō Nostalgie [ ja ]","Ichi Column, Otomate",Idea Factory,Otome game,Yes,,,,,,,,
"Hanayaka Nari, Waga Ichizoku Modern Nostalgie [ ja ]","Ichi Column, Otomate",Idea Factory,Otome game,Yes,,,,,,,,
Hanayamata: Yosakoi Live!,Bandai Namco Games,Bandai Namco Games,Rhythm,Yes,,,,,,,,
Handball 16,Eko Software,Bigben Interactive,Sports,No,,,,,,,,
Harukanaru Toki no Naka de 3 Ultimate,Ruby Party,Koei Tecmo,Otome game Role-playing,Yes,,,,,,,,
Harukanaru Toki no Naka de 6,Ruby Party,Koei Tecmo,Otome game Role-playing,Yes,,,,,,,,
Harukanaru Toki no Naka de 6: Gentō Rondo,Ruby Party,Koei Tecmo,Otome game Role-playing,Yes,,,,,,,,
Harukanaru Toki no Naka de Ultimate,Ruby Party,Koei Tecmo,Otome game Role-playing,Yes,,,,,,,,
Haruoto Alice * Gram: Snow Drop,NanaWind,NanaWind,Visual novel,No,,,,,,,,
Harvest Overray,Giga,Entergram,Visual novel,Yes,,,,,,,,
Hatoful Boyfriend,"Hato-King, Mediatonic",Devolver Digital,Dating sim,Yes,,,,,,,,
Hatoful Boyfriend: Holiday Star,"Hato-King, Mediatonic",Devolver Digital,Dating sim,No,,,,,,,,
Hatsujou Sprinkle,Whirlpool,Whirlpool,Visual novel,No,,,,,,,,
Hatsune Miku: Project Diva F,"Sega , Crypton Future Media",Sega,Rhythm,Japan/Asia only (Requires DualShock 4 controller),,,,,,,,
Hatsune Miku: Project Diva F 2nd,"Sega , Crypton Future Media",Sega,Rhythm,Yes,,,,,,,,
Hatsune Miku: Project Diva X,"Sega , Crypton Future Media",Sega,Rhythm,Yes,,,,,,,,
Hatsuru Koto Naki Mirai Yori [ ja ],Front Wing,Prototype,Visual novel,Yes,,,,,,,,
Hatsuyuki Sakura,Saga Planets,Entergram,Visual novel,Yes,,,,,,,,
Heiligenstadt no Uta,Extend,Extend,Otome game,Yes,,,,,,,,
Helldivers,Arrowhead Game Studios,Sony Computer Entertainment,Shooter,Yes,,,,,,,,
Hello Kitty to Issho: Block Crash V,Dorasu,Dorasu,Puzzle,No,,,,,,,,
Hello Lady! Superior Dynamis,Akatsuki Works,Dramatic Create,Visual novel,Yes,,,,,,,,
Hero Must Die,Nippon Ichi Software,Nippon Ichi Software,Role-playing,Yes,,,,,,,,
Heroes Trials,Shinyuden,Ratalaika Games,Action role-playing,Yes,,,,,,,,
Heroes of Loot,"OrangePixel, Abstraction Games",Abstraction Games,Action,Yes,,,,,,,,
