title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Attack on Titan,Omega Force,Koei Tecmo,Action,Yes,,,,,,,,
Attack on Titan 2,Omega Force,Koei Tecmo,Action,Yes,,,,,,,,
Attractio,GameCoder Studios Renderfarm Studios,Bandai Namco Entertainment,Puzzle-platform,Yes,,,,,,,,
Awesome Pea,Pigeon Dev Games,Pigeon Dev Games,Platform,No,,,,,,,,
Awesome Pea 2,Pigeon Dev Games,Pigeon Dev Games,Platform,No,,,,,,,,
Axiom Verge,Thomas Happ Games Sickhead Games,Thomas Happ Games,Metroidvania,Yes,,,,,,,,
Ayakashi Gohan: Oomori!,Honeybee,Honeybee,Otome game,Yes,,,,,,,,
"Azayaka na Irodori no Naka de, Kimi Rashiku",Prekano,Entergram,Visual novel,Yes,,,,,,,,
Azkend 2: The World Beneath,10tons,10tons,Puzzle,Yes,,,,,,,,
Baboon!,Relevo Videogames,Relevo Videogames,Platform,Yes,,,,,,,,
Back in 1995,Throw the Warped Code Out,Ratalaika Games,Survival horror,No,,,,,,,,
Back to Bed,Bedtime Digital Games,JP : Nippon Ichi Software WW : Loot Interactive,Puzzle,Yes,,,,,,,,
Backgammon Blitz,VooFoo Studios,The Fyzz Facility,Sports,Yes,,,,,,,,
Bad Apple Wars,Otomate,JP : Idea Factory WW : Aksys Games,Otome game,Yes,,,,,,,,
Badland: Game of the Year Edition,Frogmind BlitWorks,Frogmind,Platform,Yes (1-4 players),,,,,,,,
Bakumatsu Rock: Ultra Soul,Marvelous,Marvelous,Visual novel rhythm,Yes,,,,,,,,
Balthazar's Dream,Hidden Trap,Hidden Trap,Puzzle-platform,No,,,,,,,,
Banbutsu Otome Dungeons,UserJoy Japan,UserJoy Japan,Dungeon crawler,Yes,,,,,,,,
Bara ni Kakusareshi Verite,Ichi Column,Idea Factory,Otome game Adventure,Yes,,,,,,,,
Bard's Gold,Pixel Lantern,JP : EastAsiaSoft WW : Pixel Lantern,Platform,Yes,,,,,,,,
Baseball Riot,10tons,10tons,Action,Yes,,,,,,,,
Bastion,Supergiant Games BlitWorks,Warner Bros. Interactive Entertainment,Action role-playing,Yes,,,,,,,,
